Details,NIC Codes
Cultivation of wheat,"46532: Wholesale of ploughs, manure spreaders, seeders, harvesters, threshers
01111: Growing of wheat
47211: Retail sale of cereals and pulses, tea, coffee, spices and flour
46539: Wholesale of other agriculture machinery n.e.c.
46209: Whole sale of other agriculture raw materials n.e.c."
Cultivation of basmati rice,"01121: Organic farming of basmati rice
01122: Organic farming of non-basmati rice
01123: Inorganic farming of basmati rice
01124: Inorganic farming of non-basmati rice
01611: Agricultural activities on a fee or contract basis (preparation of fields, establishing a crop, treatment of crops, crop spraying, trimming of fruit trees and vines, transplanting of rice, thinning of"
cabbages farming,"01139: Growing of vegetables, n.e.c.""
01500: Mixed farming
01134: Growing of carrots, beets,turnips, garlic, leeks and other root, bulb vegetables(onion excluded)
10615: Vegetable milling (production of flour or meal of dried leguminous vegetables(except dal), of roots or tubers, or of edible nuts)
01131: Growing of asparagus, cabbages, cauliflower, broccoli, lettuce, chicory, spinach and other leafy or stem vegetables"
Sugarcane farming,"46208: Wholesale of sugarcane
01140: Growing of sugar cane
28211: Manufacture of tractors used in agriculture and forestry																										and accessories for general purpose machinery and equipment.)
10729: Manufacture of sugar from other sources (juice of palm, suger beet etc.)
10722: Manufacture of `gur' from sugarcane"
Rearing of cattle and buffaloes,"01412: Production of milk from cows or buffaloes
01411: Raising and breeding of cattle and buffaloes
10102: Beef-slaughtering, preparation
10801: Manufacture of cattle feed
01442: Production of milk from sheep or goat"
milk production from cows/buffaloes,"01412: Production of milk from cows or buffaloes
01411: Raising and breeding of cattle and buffaloes
01442: Production of milk from sheep or goat
28251: Manufacture of machinery for the dairy industry
10801: Manufacture of cattle feed"
Murgi Palan,"10795: Grinding and processing of spices
10612: Rice milling
12008: Manufacture of pan masala and related products.
01284: Growing of perennial and non-perennial spices and aromatic crops (pepper, capsicum, nutmeg, mace, anise, badian and fennel, cinnamon (canella), cloves, vanilla and other spices and aromatic crops)
46539: Wholesale of other agriculture machinery n.e.c."
Beekeeping and honey production,"01492: Bee-keeping and production of honey and beeswax
01199: Growing of other non-perennial crops including beet seed and padding materials, n.e.c.
46533: Wholesale of milking machines, poultry-keeping machines, bee-keeping machines
01491: Raising and breeding of pet animals (cats, dogs, birds, hamsters etc.
01137: Growing of vegetable seeds (except beet seed)"
Mixed farming – both crops and livestok,"01500: Mixed farming
01441: Raising and breeding of sheep and goats
01411: Raising and breeding of cattle and buffaloes
01611: Agricultural activities on a fee or contract basis (preparation of fields, establishing a crop, treatment of crops, crop spraying, trimming of fruit trees and vines, transplanting of rice, thinning of
01620: Support activities for animal production"
Cotton processing work,"46512: Wholesale of software
13121: Weaving, manufacture of cotton and cotton mixture fabrics.
13131: Finishing of cotton and blended cotton textiles.
01161: Growing of cotton
13111: Preparation and spinning of cotton fiber including blended* cotton"
collection of firewood,"46496: Wholesale of paper and other stationery items; books, magazines and newspapers
47735: Retail sale of souvenirs, craftwork and religious articles, stamps and coins
16233: Manufacture of market basketry, grain storage bins and similar products made of bamboo or reed
46595: Wholesale of machinery and equipment for the textile, wood and metal industries etc.
16231: Manufacture of wooden boxes, barrels, vats, tubs, packing cases etc."
Commercial fishing in oceans and seas,"03111: Fishing on a commercial basis including taking of marine crustaceans and molluscs in ocean and coastal waters
03219: Other marine aquaculture, n.e.c
50112: Sea and coastal water cruise, water taxis and other sight seeing boats
03229: Other freshwater aquaculture activities, n.e.c.
03113: Activities of vessels engaged in fishing and in processing and preserving of fish"
Fish farming in freshwater bodies,"03229: Other freshwater aquaculture activities, n.e.c.
08931: Salt mining, quarrying, screening etc.
03221: Fish farming in freshwater including farming of freshwater ornamental fish
03219: Other marine aquaculture, n.e.c
03211: Fish farming in sea water including farming of marine ornamental fish"
Mining and extraction of iron ore,"07100: Mining of iron ores
08999: Mining of laterite, diatomite and silicious fossil meals (e.g. diatomite); and other natural fluxes;natural asphalt or bitumen and other mining n.e.c.
08108: Mining of clays (kaolin, ball clay, wollastonite, bentonite, fuller?s earth, fire clay etc. )
08919: Mining of potash bearing salts/minerals; borate minerals and other fertiliser and chemical minerals n.e.c.
08997: Mining of felspar and silica minerals including quartz, quartzite and fuch.Quartzite"
extraction of copper ores,"07291: Mining of copper ore
08931: Salt mining, quarrying, screening etc.
24201: Manufacture of Copper from ore, and other copper products and alloys
46620: Wholesale of metals and metal ores
08108: Mining of clays (kaolin, ball clay, wollastonite, bentonite, fuller?s earth, fire clay etc. )"
Marble querrying and extraction,"08101: Quarrying of marble
08103: Quarrying of slate and building and monumental stone other than marble and granite
28249: Manufacture of other machinery for mining, quarrying and construction n.e.c.
08102: Quarrying of granite
09900: Support activities for other mining and quarrying"
